State,Name,Address,Lat,Lon,City,Rank
Alabama,Cat-n-Bird Winery,"11661 Old Highway 280, Chelsea, AL 35043",33.350924,-86.655279,Chelsea,1
Alaska,Bear Creek Winery & Lodging,"60203 Bear Creek Drive, Homer, AK 99603",59.669572,-151.455799,Homer,2
Arizona,Arizona Stronghold Tasting Room,"1023 N. Main Street, Cottonwood, AZ 86326",34.748508,-112.026996,Cottonwood,3
Arkansas,Railway Winery & Vineyards,"4937 Highway 187, Eureka Springs, AR 72631",36.477991,-93.801122,Eureka Springs,4
California,Vincent Arroyo Winery,"2361 Greenwood Avenue, Calistoga, CA 94515",38.597238,-122.588648,Calistoga,5
Colorado,Hermosa Vineyards,"3269 3/4 C Road, Palisade, Colorado 81526",39.045497,-108.447569,Palisade,6
Connecticut,Taylor Brooke Winery,"848 Route 171, Woodstock, CT 06281",41.961991,-72.014108,Woodstock,7
"Washington, DC",District Winery,"385 Water Street SE, Washington, DC 20003",38.873482,-77.000734,Washington,8
Delaware,Salted Vines Vineyard & Winery,"32512 Blackwater Road, Frankford, DE 19945",38.540066,-75.157021,Frankford,9
Florida,Aspirations Winery,"22041 US Highway 19 N, Clearwater, FL 33765",27.972803,-82.726453,Clearwater,10
Georgia,The Cottage Vineyard & Winery,"5050 Highway 129 N, Cleveland, GA 30528",34.631288,-83.819999,Cleveland,11
Hawaii,Volcano Winery,"35 Pii Mauna Drive, Volcano, HI 96785",19.440523,-155.250569,Volcano,12
Idaho,Parma Ridge Winery,"24509 Rudd Road, Parma, ID 83660",43.727888,-116.907702,Parma,13
Illinois,August Hill Winery Tasting Room,"106 Mill Street, Utica, IL 61373",41.340561,-89.009844,Utica,14
Indiana,Oliver Winery,"200 E Winery Road, Bloomington, IN 47404",39.118199,-86.519187,Bloomington,15
Iowa,Fireside Winery,"1755 P Avenue, Marengo, IA 52301",41.752609,-92.006659,Marengo,16
Kansas,Grace Hill Winery,"6310 S. Grace Hill Road, Whitewater, KS 67154",37.96663,-97.184741,Whitewater,17
Kentucky,Talon Winery & Vineyard,"7086 Tates Creek Road, Lexington, KY 40515",37.909572,-84.442145,Lexington,18
Louisiana,Pontchartrain Vineyards,"81250 Highway 1082, Bush, LA 70431",30.615585,-90.023648,Bush,19
Maine,Cellardoor Winery,"367 Youngtown Road, Lincolnville, ME 04849",44.272744,-69.077588,Lincolnville,20
Maryland,Crow Farm & Vineyard,"12441 Vansants Corner Road, Kennedyville, MD 21645",39.318231,-75.928197,Kennedyville,21
Massachusetts,Boston Winery,"26 Ericsson Street, Boston, MA 02122",42.29174,-71.04013,Boston,22
Michigan,L Mawby Winery,"519 S. Elm Valley Road, Suttons Bay, MI 49682",44.988569,-85.644068,Suttons Bay,23
Minnesota,North Shore Winery,"202 Ski Hill Road, Lutsen, MN 55612",47.647209,-90.70527,Lutsen,24
Mississippi,Old South Winery,"65 S. Concord Avenue, Natchez, MS 39120",31.559977,-91.381898,Natchez,25
Missouri,KC Wineworks,"1829 McGee Street, Kansas City, MO 64108,",39.090621,-94.580008,Kansas City,26
Montana,Yellowstone Cellars & Winery,"1335 Holiday Circle, Billings, MT 59102",45.746244,-108.552738,Billings,27
Nebraska,Brother Sebastian's Steak House & Winery,"1350 S. 119th Street, Omaha, NE 68144",41.245917,-96.098877,Omaha,28
Nevada,Pahrump Valley Winery,"3810 Winery Road, Pahrump, NV 89048",36.190605,-115.950167,Pahrump,29
New Hampshire,Hermit Woods Winery,"72 Main Street, Meredith, NH 03253",43.65615,-71.500117,Meredith,30
New Jersey,Valenzano Winery,"1090 Route 206, Shamong, NJ 08088",39.860351,-74.669346,Vincentown,31
New Mexico,Gruet Winery - Santa Fe,"210 Don Gaspar Avenue, Santa Fe, NM 87501",35.686245,-105.940084,Santa Fe,32
New York,Ports of New York,"815 Taber Street, Ithaca, NY 14850",42.438677,-76.515067,Ithaca,33
North Carolina,Noni Bacca Winery,"420 Eastwood Road, Wilmington, NC 28403",34.241858,-77.859442,Wilmington,34
North Dakota,Fluffy Fields,"2708 21st Street E, Dickinson, ND 58601",46.90354,-102.743509,Dickinson,35
Ohio,CLE Urban Winery,"2180B Lee Road, Cleveland Heights, OH 44118",41.500222,-81.565564,Cleveland,36
Oklahoma,Water's Edge Winery - Oklahoma City,"712 N. Broadway Avenue, Oklahoma City, OK 73102",35.474567,-97.513982,Oklahoma City,37
Oregon,Seven of Hearts Wine,"217 W. Main Street, Carlton, OR 97111",45.294449,-123.178061,Carlton,38
Pennsylvania,Blue Ridge Winery,"239 Blue Ridge Road, Saylorsburg, PA 18353",40.901509,-75.409459,Saylorsburg,39
Rhode Island,Verde Vineyards,"50 Hopkins Avenue, Johnston, RI 02919",41.844774,-71.569727,Johnston,40
South Carolina,City Scape Winery,"589 Dunklin Bridge Road, Pelzer, SC 29669",34.600659,-82.316673,Pelzer,41
South Dakota,Prairie Berry Winery,"23837 Highway 385, Hill City, SD 57745",43.949789,-103.522428,Hill City,42
ennessee,Tennessee Homemade Wines,"643 Parkway, Gatlinburg, TN 37738",35.718016,-83.49983,Gatlinburg,43
Texas:,Pontotoc Vineyard,"320 W. Main Street, Fredericksburg, TX 78624",30.278622,-98.876334,Fredericksburg,44
Utah,Old Town Cellars,"890 Main Street, Park City, UT 84060",40.648277,-111.498417,Park City,45
Vermont,Boyden Valley Winery & Spirits,"64 Vermont Route 104, Cambridge, VT 05444",44.648867,-72.889162,Cambridge,46
Virginia,Zephaniah Farm Vineyard,"19381 Dunlop Mill Road, Leesburg, VA 20175",39.081814,-77.622678,Leesburg,47
Washington,Palouse Winery,"12431 Vashon Highway SW, Vashon, WA 98070",47.493857,-122.468979,Vashon,48
West Virginia,Chestnut Ridge Winery,"15 Chestnut Ridge, Spencer, WV 25276",38.799658,-81.356217,Spencer,49
Wisconsin,Von Stiehl Winery,"115 Navarino Street, Algoma, WI 54201",44.60893,-87.435038,Algoma,50
Wyoming,Jackson Hole Winery,"2800 Boyles Hill Road, Jackson, WY 83001",43.464214,-110.819671,Jackson,51
